SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Vangevej 8,Overlay,,Line,#1F49FF,,56.547041915,8.294937791,"56.547041915,8.294937791 56.546914758,8.294967295 56.546885186,8.294961931 56.546855615,8.294908286","sm2e1d4b81",Lemvig,Vangevej 8
Vangevej 8,Overlay,,Line,#1F49FF,,56.546778729,8.294959248,"56.546778729,8.294959248 56.546650092,8.295004846","sm3e2b822a",Lemvig,Vangevej 8
Vangevej 8,Overlay,,Polygon,#FFB124,,56.546848222,8.294505955,"56.546848222,8.294505955 56.546809778,8.294524731 56.546778728,8.294277968 56.546610169,8.294387938 56.546610169,8.294425489 56.546555461,8.294454993 56.546644177,8.294994117 56.546746199,8.29494852 56.546743242,8.294889511 56.54677725,8.294878782 56.5467876,8.294945838 56.546775771,8.294983389 56.546873357,8.294975342 56.546852657,8.29494852 56.546823086,8.294736625 56.546812736,8.294615926 56.54686005,8.294594468 56.546848222,8.294505955","smd03c8ee8",Lemvig,Vangevej 8
Vangevej 8,Overlay,,Polygon,#FFB124,,56.547003472,8.294589104,"56.547003472,8.294589104 56.547038958,8.29492438 56.546914758,8.29494852 56.546911801,8.294892193 56.546984251,8.294857325 56.546957636,8.294605197 56.547003472,8.294589104","smd4a52f30",Lemvig,Vangevej 8
Storegade 1a,Overlay,,Polygon,#FFB124,,56.546132524,8.303090906,"56.546132524,8.303090906 56.546074858,8.303187466 56.546018671,8.303297436 56.546107388,8.303487873 56.546150267,8.30344764 56.546199061,8.303616619 56.546116259,8.303731954 56.546176882,8.303890204 56.546054158,8.304061866 56.54598762,8.30388484 56.546008321,8.303849971 56.54597727,8.303782916 56.545913689,8.303906298 56.545895946,8.303876793 56.545912211,8.303919709 56.545875245,8.304136968 56.545959526,8.304128921 56.546065987,8.304075277 56.546138438,8.304026997 56.546209412,8.303965306 56.546287778,8.303863382 56.546290735,8.303841925 56.54628482,8.303817785 56.546262642,8.30376414 56.546231591,8.303678309 56.546202019,8.303595161 56.546176883,8.303479826 56.546132524,8.303090906","sm83023f28",Lemvig,Storegade 1a
Storegade 1a,Overlay,,Line,#1F49FF,,56.54609999,8.30282269,"56.54609999,8.30282269 56.54612365,8.30290315 56.54613252,8.30302385 56.54614731,8.30317674 56.54616357,8.30332962 56.54618575,8.30350128 56.5462242,8.30364612 56.54630256,8.30383656 56.54629073,8.30389557 56.54623307,8.30395994 56.54613105,8.30405382 56.54604381,8.3041021 56.54596248,8.30414233 56.54587119,8.30415558","sm8c6d8db7",Lemvig,Storegade 1a
Storegade 1,Overlay,,Line,#1F49FF,,56.545972834,8.303839243,"56.545972834,8.303839243 56.54598762,8.303817785","sm97567f31",Lemvig,Storegade 1
Storegade 1,Overlay,,Line,#1F49FF,,56.546295171,8.303876794,"56.546295171,8.303876794 56.546213848,8.303984082 56.546141396,8.304037726 56.5460305,8.304120875","sma0d023d1",Lemvig,Storegade 1
Storegade 1,Overlay,,Polygon,#FFB124,,56.545961005,8.303823149,"56.545961005,8.303823149 56.546052679,8.304059184 56.546031979,8.304080642 56.546021629,8.304134286 56.545986142,8.304128921 56.545980227,8.304072595 56.54591369,8.303898251 56.545961005,8.303823149","sm136abab6",Lemvig,Storegade 1
Storegade 1,Overlay,,Polygon,#FFB124,,56.54632622,8.30384729,"56.54632622,8.30384729 56.546290734,8.30379901 56.546244898,8.303689039 56.546216805,8.303621984 56.54617984,8.303477144 56.546141396,8.303533471 56.546185754,8.303638077 56.546119217,8.303740001 56.54617984,8.30388484 56.546117738,8.303976035 56.546142875,8.304008222 56.546197583,8.303965307 56.546237505,8.3038607 56.54625377,8.303820467 56.546272992,8.303817785 56.546292214,8.303855336 56.546301085,8.303887522 56.54632622,8.30384729","sm0d4a24bf",Lemvig,Storegade 1
