SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Baunehøj,Overlay,,Polygon,#FFB124,,56.946161952,8.64510258,"56.946161952,8.64510258 56.946145053,8.645197737 56.946089461,8.645479369 56.946060202,8.64551692 56.946028017,8.645500827 56.945761758,8.645302343 56.945726647,8.645200419 56.945949017,8.644111442 56.946067517,8.643529401 56.946087999,8.643470393 56.94610848,8.643443571 56.946139202,8.643438206 56.946166998,8.643446253 56.946344014,8.643599139 56.946333774,8.643671558 56.946610269,8.643872724 56.946643916,8.643725203 56.946608806,8.643701063 56.946598565,8.643725203 56.946578084,8.643752025 56.946538585,8.643765436 56.946468364,8.643703745 56.946423013,8.643650101 56.946409847,8.643574998 56.946417161,8.643558905 56.946458124,8.643585727 56.946485919,8.643451617 56.94644642,8.643422113 56.946450809,8.643384562 56.946468364,8.643363104 56.946490308,8.643355057 56.946589788,8.643414066 56.946635139,8.643451617 56.946646842,8.643494532 56.946648305,8.643529401 56.946613195,8.643695698 56.946645379,8.643719838 56.946698044,8.643454299 56.946695119,8.643435524 56.946430328,8.643239722 56.946358644,8.643518672 56.946295737,8.643486486 56.946269404,8.643459663 56.946156757,8.643376515 56.946140665,8.643355057 56.946134813,8.643298731 56.946145054,8.643086836 56.946142128,8.643025145 56.946038258,8.643054649 56.946058739,8.643167302 56.946063128,8.643296048 56.946051425,8.643422112 56.946007536,8.643612549 56.945949018,8.643878087 56.945628629,8.645380125 56.945546703,8.645769045 56.945521833,8.646026538 56.945556944,8.646310852 56.945641796,8.646761463 56.945676908,8.646933124 56.945694463,8.647120879 56.945671056,8.647512481 56.945630093,8.647764608 56.945492574,8.648107931 56.945325794,8.648413703 56.945238015,8.648590729 56.94516194,8.648896501 56.945112198,8.64922373 56.945104884,8.649242503 56.945085865,8.649263961 56.945067577,8.6493109 56.945066113,8.649394048 56.945082206,8.649442328 56.945113661,8.649399413 56.945105614,8.649349792 56.945111466,8.64932297 56.945124635,8.6493109 56.945141459,8.649309559 56.945152431,8.649332357 56.945157552,8.649375273 56.9451517,8.649395389 56.945138533,8.649407459 56.945125365,8.649411483 56.945117319,8.649402095 56.945081475,8.649442328 56.945096105,8.64946915 56.945120245,8.649482562 56.945153162,8.64948122 56.945180228,8.649459763 56.945191931,8.649436964 56.945216802,8.649435623 56.945390166,8.649548276 56.945404795,8.64958985 56.945428935,8.649706526 56.945455268,8.649737371 56.945480871,8.649738713 56.945499889,8.649734689 56.945518177,8.649701162 56.945530612,8.649642153 56.945535733,8.64958985 56.945203636,8.649377955 56.945201442,8.649343087 56.945196321,8.649304195 56.945189006,8.64928676 56.945170718,8.649251891 56.945167061,8.649210317 56.945167792,8.649163379 56.945175839,8.649097664 56.945208756,8.648939414 56.945293609,8.648633643 56.945445759,8.648303731 56.945535,8.648134751 56.945562065,8.648093177 56.945582547,8.648078425 56.945605223,8.648082448 56.94561839,8.648091836 56.945669594,8.648134751 56.945757372,8.648215217 56.945842224,8.648287637 56.945931465,8.648338599 56.946071908,8.648429794 56.946169926,8.648464662 56.946284036,8.648499531 56.946288425,8.648502213 56.946303054,8.648553175 56.946319145,8.64859542 56.946360107,8.648618219 56.946378394,8.648618219 56.946406922,8.64858335 56.946421552,8.648548481 56.946428135,8.648489473 56.94642521,8.648446557 56.94641058,8.648394254 56.946391562,8.648372797 56.946365228,8.648359385 56.946363765,8.648435828 56.946377663,8.648451922 56.946383515,8.648482767 56.946379858,8.648512271 56.946369617,8.648528365 56.946354256,8.648533729 56.946343283,8.648531047 56.946329385,8.64849886 56.946328653,8.648478744 56.946334505,8.648453263 56.946354255,8.648435828 56.946361569,8.648435828 56.946363032,8.648358044 56.946344014,8.648366091 56.946330847,8.648372797 56.946316949,8.64838889 56.946297198,8.6484251 56.94628842,8.648438511 56.94626867,8.648445217 56.946098237,8.648383526 56.945980469,8.648324517 56.945885377,8.648260144 56.94575371,8.648144809 56.945671784,8.648056296 56.945643988,8.648002652 56.94563521,8.647940961 56.945638136,8.647898046 56.945654229,8.647847084 56.94567471,8.647780029 56.945696655,8.647662012 56.945711284,8.647568133 56.945721525,8.64750376 56.945731766,8.647393789 56.945736154,8.647278455 56.94573908,8.647149709 56.945747858,8.647085336 56.945774191,8.647058514 56.945900006,8.646994141 56.946060931,8.646961954 56.94618382,8.646999507 56.94621893,8.647018282 56.946325725,8.647113501 56.94654224,8.647302597 56.946549556,8.647322046 56.946552482,8.647352892 56.946567111,8.647382396 56.94658174,8.647389102 56.946602222,8.647389102 56.94661612,8.647382396 56.946625629,8.647363621 56.946635869,8.647324729 56.946635869,8.647284495 56.946629286,8.647259014 56.946613193,8.647238898 56.946593442,8.647234874 56.946578813,8.647240239 56.946561256,8.647249627 56.946540044,8.647233533 56.946351324,8.647065896 56.946228437,8.646969338 56.946137734,8.646918376 56.946083605,8.646913011 56.946022161,8.646913011 56.945903661,8.646942515 56.945801254,8.646969337 56.945758828,8.646966655 56.945731032,8.646945197 56.945700309,8.646768171 56.945608142,8.646392662 56.945590587,8.646271963 56.945580346,8.646217648 56.945570105,8.646048669 56.945575225,8.645925287 56.945587661,8.645805929 56.945630818,8.645573917 56.94566666,8.64543042 56.945684947,8.645407621 56.945703235,8.645391528 56.945723716,8.64539421 56.945899272,8.645514909 56.946952588,8.646263245 56.947185191,8.646429542 56.947212986,8.646324936 56.947193973,8.646308175 56.947172029,8.646313538 56.947037441,8.646222343 56.946877983,8.646096279 56.946864817,8.646069457 56.946864817,8.646029223 56.946924797,8.645699311 56.946984776,8.645742227 56.947019886,8.64575832 56.947046219,8.645699311 56.947098884,8.645420362 56.947183732,8.645031441 56.947286136,8.644559374 56.947183732,8.64448159 56.94718227,8.644580832 56.947211528,8.644618382 56.947218842,8.644634476 56.947207139,8.644773951 56.947114976,8.645205786 56.947033052,8.645575931 56.947014035,8.6456108 56.946970147,8.6456108 56.946981851,8.64553838 56.946908705,8.645487418 56.946898464,8.645549109 56.946880909,8.64553838 56.94686628,8.645476689 56.947053533,8.644556691 56.947074014,8.644527187 56.947116439,8.644513776 56.947119365,8.644521823 56.947095958,8.644610336 56.947161789,8.644661298 56.947179344,8.644596925 56.947179344,8.644478908 56.947044756,8.644390394 56.946958444,8.644800772 56.94679606,8.645592024 56.946882372,8.645656397 56.946838485,8.645946076 56.946823855,8.645986309 56.946809226,8.646018496 56.946784357,8.646026542 56.946730229,8.645997037 56.946462513,8.645817329 56.946286959,8.645691264 56.946134813,8.645575929 56.946131887,8.645535696 56.946143591,8.645423043 56.946193331,8.645162868 56.946203572,8.645128 56.946205134,8.645128358 56.946161952,8.64510258","sm52bcc139",Thisted,Baunehøj
Baunehøj,Overlay,,Polygon,#EB0920,,56.945660812,8.647542659,"56.945660812,8.647542659 56.945630089,8.647561435 56.945570107,8.647550706 56.945417958,8.647497062 56.945406254,8.647448782 56.945379921,8.647432689 56.945352124,8.647454146 56.945343346,8.647475604 56.945337494,8.647526566 56.945347735,8.647564117 56.945359439,8.647590939 56.945379921,8.647601668 56.945403328,8.64758021 56.945419421,8.647558753 56.945606682,8.647631172 56.945635941,8.64770091 56.945660812,8.647542659","sm841243fe",Thisted,Baunehøj
Baunehøj,Overlay,,Polygon,#FFB124,,56.946248919,8.644966396,"56.946248919,8.644966396 56.94623429,8.645041498 56.946258428,8.645048204 56.946287687,8.645028087 56.946296465,8.644989195 56.946342547,8.644750479 56.94633889,8.644719633 56.946331575,8.644696834 56.946320602,8.644682082 56.94629573,8.644657942 56.946311823,8.644600275 56.946406182,8.644663307 56.946300119,8.645178291 56.946058001,8.645010653 56.946166991,8.644502374 56.946169186,8.644492986 56.946308897,8.644596251 56.946293536,8.64465526 56.94622112,8.644602957 56.946210148,8.64460698 56.946192593,8.644621732 56.946161871,8.64470354 56.946147241,8.644773277 56.946123834,8.644906046 56.946131149,8.644936892 56.946139195,8.644959691 56.946161871,8.644985172 56.946175769,8.644908729 56.946248919,8.644966396","smcabeaafd",Thisted,Baunehøj
Rasteplads R120- 12 T,Overlay,,Polygon,#FFB124,,56.972363799,8.741919655,"56.972363799,8.741919655 56.972471981,8.742917437 56.972438357,8.742946941 56.972328713,8.741941113 56.972363799,8.741919655","smd115fdec",Thisted,Rasteplads R120- 12 T
Rasteplads R120- 12 T,Overlay,,Polygon,#FFB124,,56.972299475,8.741949159,"56.972299475,8.741949159 56.972258541,8.741967935 56.972378418,8.742936212 56.972410581,8.742936212 56.97231848,8.742099363 56.972299475,8.741949159","smb764eb17",Thisted,Rasteplads R120- 12 T
Retten,Overlay,,Polygon,#FFB124,,56.955319839,8.688379454,"56.955319839,8.688379454 56.955335196,8.688659745 56.955601386,8.68861549 56.955617474,8.688640971 56.955646726,8.688642312 56.955645263,8.688667793 56.955610161,8.68867718 56.955602849,8.688808609 56.955579447,8.688807267 56.955580179,8.688866276 56.955553121,8.688855547 56.955554583,8.688812632 56.955494618,8.688819337 56.955499005,8.688922602 56.955448546,8.688926626 56.95545074,8.688864935 56.955371029,8.688871641 56.955363716,8.688705344 56.955264991,8.688705344 56.955230621,8.688705343 56.955240859,8.688598055 56.955219651,8.688587326 56.955220382,8.68855514 56.955243053,8.688533682 56.955251097,8.688466627 56.955242321,8.688443828 56.955273767,8.688378114 56.955319839,8.688379454","sm25bbf272",Thisted,Retten
Retten,Overlay,,Line,#1F49FF,,56.955623326,8.687745114,"56.955623326,8.687745114 56.955463904,8.687965055 56.955332271,8.688171585 56.955267917,8.688278872 56.955245247,8.688332516 56.955227696,8.688402253 56.955210876,8.688513565 56.955199907,8.688706684 56.955208682,8.688705343 56.955216727,8.688569891 56.955224771,8.688463944 56.955224771,8.688463944 56.955224771,8.688453215","sm646d5afd",Thisted,Retten
Skat,Overlay,,Polygon,#FFB124,,56.951838343,8.69134933,"56.951838343,8.69134933 56.951785685,8.691315803 56.951721325,8.691254112 56.951641606,8.691157552 56.951637218,8.691144141 56.951650383,8.691067698 56.951571395,8.69094834 56.951517274,8.690847757 56.951463152,8.690733763 56.9514083,8.690580877 56.951363321,8.690408545 56.951371366,8.69035356 56.951322364,8.690320032 56.951317976,8.690314667 56.951353813,8.690129595 56.951158536,8.689996826 56.951165118,8.690069245 56.951214852,8.690240907 56.951255809,8.690337466 56.951268242,8.690446096 56.95133626,8.690696882 56.951350888,8.690739798 56.951308468,8.690784054 56.95138965,8.690978514 56.951457668,8.691112625 56.951528611,8.691226619 56.951628809,8.691354024 56.951709991,8.691438514 56.951772524,8.691492829 56.951791904,8.691422421 56.951800681,8.691434491 56.95181092,8.691470701 56.951838343,8.69134933","sm49915083",Thisted,Skat
Skat,Overlay,,Polygon,#FFB124,,56.951853701,8.691327872,"56.951853701,8.691327872 56.95187418,8.691220584 56.951865403,8.69121522 56.951850776,8.691290321 56.95165989,8.691161575 56.951711817,8.690920177 56.951892464,8.69104624 56.951897583,8.691050264 56.951882956,8.691121342 56.951891001,8.691126707 56.951923181,8.690971139 56.951912942,8.690963092 56.951899046,8.691028806 56.951717668,8.690906766 56.951768863,8.690665367 56.951947316,8.690798136 56.951934151,8.690867874 56.951943659,8.690871897 56.951959749,8.690791431 56.951995586,8.690820935 56.951886613,8.691350671 56.951853701,8.691327872","sm53c4eaa9",Thisted,Skat
Skat,Overlay,,Line,#1F49FF,,56.951647089,8.691155538,"56.951647089,8.691155538 56.951750943,8.690605685 56.951973277,8.690763936 56.951982054,8.690721021 56.951976203,8.690715656 56.951971815,8.690731749 56.951764108,8.690592275 56.951670859,8.690521867 56.951692069,8.69053796 56.95168768,8.690568806 56.951738876,8.690603674 56.951726443,8.690672071 56.951668665,8.690637202 56.951685487,8.690591604 56.951722055,8.69062245 56.951721324,8.690639884 56.951689875,8.690623791","smff0b3e20",Thisted,Skat
