SM Group,SM Title,SM Description,SM Type,Niveau,Område,Storkunde,Adresse,By,Plads navn,post nr,KodeNøgle,Strømiddel,App,Ejendomskontakt,Dage,Status,title,Bemærkning,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
VIP,50,,Marker,VIP,SilkeborgRanders,snevagten andre,Nørrevænget 49,Silkeborg,"Nørrevænget 49, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,50,,,#FFA500,56.1860164,9.5474012,"56.1860164,9.5474012","sm421e83a5",List29/10-2025,VIP
VIP,54,,Marker,VIP,SilkeborgRanders,uno-x,Viborgvej 12,Silkeborg,"Viborgvej 12, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,54,,,#FFA500,56.18515,9.5437592,"56.18515,9.5437592","sm674dafda",List29/10-2025,VIP
VIP,57,,Marker,VIP,SilkeborgRanders,Lidl,Christian 8.s  vej 8A,Silkeborg,"Christian 8.s  vej 8A, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,57,,,#FFA500,56.1660822,9.5518843,"56.1660822,9.5518843","sme06fcf6b",List29/10-2025,VIP
VIP,63,,Marker,VIP,SilkeborgRanders,uno-x,Skærbækvej 3,Silkeborg,"Skærbækvej 3, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,63,,,#FFA500,56.181557474,9.644173814,"56.181557474,9.644173814","sm356700f5",List29/10-2025,VIP
VIP,73,,Marker,VIP,SilkeborgRanders,uno-x,Stagehøjvej 2a,Silkeborg,"Stagehøjvej 2a, 8600 Silkeborg",8600,0,0,0,0,AlleDage,Aktiv,73,,,#FFA500,56.186636,9.5731893,"56.186636,9.5731893","sm1c453962",List29/10-2025,VIP
VIP,77,,Marker,VIP,SilkeborgRanders,falck,Ny Tilemannsvej 2,Hammel,"Ny Tilemannsvej 2, 8450 Hammel",8450,0,0,0,0,AlleDage,Aktiv,77,,,#FFA500,56.2575868,9.8592114,"56.2575868,9.8592114","smaf599662",List29/10-2025,VIP
VIP,101,,Marker,VIP,SilkeborgRanders,Uno-x,Søndergade 16,Kjellerup,Søndergade 16 Kjellerup,8620,0,0,IngenApp,0,AlleDage,Aktiv,101,,,#FFA500,56.2872639,9.4309326,"56.2872639,9.4309326","sm9316cbcf",List29/10-2025,VIP
VIP,102,,Marker,VIP,SilkeborgRanders,uno-x,Viborgvej 87,Silkeborg,Viborgvej 87 Uno-x Skægkær,8600,0,0,IngenApp,0,AlleDage,Aktiv,102,,,#FFA500,56.212429,9.5026206,"56.212429,9.5026206","smce98fe45",List29/10-2025,VIP
VIP,109,,Marker,VIP,SilkeborgRanders,uno-x,Søndergade 56,Gjern,"Søndergade 56, 8883 Gjern",8883,0,0,0,0,AlleDage,Aktiv,109,,,#FFA500,56.22081,9.7429317,"56.22081,9.7429317","sm58b6bb1f",List29/10-2025,VIP
VIP,145,,Marker,VIP,SilkeborgRanders,Spare kassen Kronjylland,Vestergade 25,Silkeborg,Vestergade 25 Sparekassen Kronjylland Silkeborg,8600,0,0,SkyHost,0,AlleDage,Aktiv,145,,,#FFA500,56.1683588,9.5462474,"56.1683588,9.5462474","smbf0355dc",List29/10-2025,VIP
VIP,147,,Marker,VIP,SilkeborgRanders,Jyske bank,vestergade 8,Silkeborg,Vestergade 8-16 mf Jyske bank Silkeborg,8600,0,0,SkyHost,0,AlleDage,Aktiv,147,,,#FFA500,56.1690716,9.5472704,"56.1690716,9.5472704","sm82c0307d",List29/10-2025,VIP
VIP,999,,Marker,VIP,Administativ,Ingen,Nørre hvamvej 8,Holstebro,Administrativ prik Vip alle,7500,0,0,0,s,AlleDage,Aktiv,999,,,#FFA500,56.414704,8.7314149,"56.414704,8.7314149","sm27c1ef0a",List29/10-2025,VIP
VIP,3,,Marker,VIP,SilkeborgRanders,Silkeborg forsyning,Tietgensvej 3,Silkeborg,Tiegensvej 3 SilkeborgForsyning,8600,0,Vejsalt,SkyHost,0,AlleDage,,3,KUNHverdage,,#FFA500,56.1992952,9.5777042,"56.1992952,9.5777042","smd427c0a3",List29/10-2025,VIP
VIP,65,,Marker,VIP,SilkeborgRanders,Postnord,Kejlstrupvej 34,Silkeborg,Kejlstrupvej 34 postnord 8600 Silkeborg,8600,"nøglebox 0086, husk at aflevere",0,0,0,AlleDage,,65,,,#FFA500,56.1804724,9.5566605,"56.1804724,9.5566605","smcc0b70f3",List29/10-2025,VIP
VIP,203,,Marker,VIP,SilkeborgRanders,GoCollectiv,Mørksøvej 5,Silkeborg,Mørksøvej 5 Gocoletive Silkeborg,8600,2202,Vejsalt,0,0,AlleDage,,203,,,#FFA500,56.1374679,9.5632328,"56.1374679,9.5632328","sm7d0b829b",List29/10-2025,VIP
VIP,159,,Marker,VIP,SilkeborgRanders,Elis,Fuglemosevej 1,Kjellerup,Fuglemosevej 1 Elis Kjellerup,8620,0,vejsalt,SkyHost,0,AlleDage,,159,,,#FFA500,56.28657619,9.423673423,"56.28657619,9.423673423","sm908cc873",List29/10-2025,VIP
VIP,142,,Marker,VIP,SilkeborgRanders,Velux,Industrivej 10,Østbirk,Industrivej 10-12 Velux Østbirk,8752,0,0,0,0,AlleDage,,142,,,#FFA500,55.968192992,9.745086093,"55.968192992,9.745086093","sme7ffa496",List29/10-2025,VIP
VIP,193,,Marker,VIP,SilkeborgRanders,Velux,Ryvej 21 B,Østbirk,Ryvej 21A-C Velux Østbrik,8752,0,0,0,0,KunHverdage,,193,,,#FFA500,55.970967092,9.742738796,"55.970967092,9.742738796","sm457cc134",List29/10-2025,VIP
VIP,194,,Marker,VIP,SilkeborgRanders,Velux,Østvej 2,Østbirk,Østvej 2 Velus Østbirk,8752,0,0,0,0,KunHverdage,,194,,,#FFA500,55.960142594,9.761907606,"55.960142594,9.761907606","sm4cba8e62",List29/10-2025,VIP
VIP,195,,Marker,VIP,SilkeborgRanders,Velux,Industrivej 19 A,Østbirk,Industrivej 19 A-D Velux Østbirk,8752,bom,0,0,0,KunHverdage,,195,,,#FFA500,55.969467599,9.740076279,"55.969467599,9.740076279","sm61aafaeb",List29/10-2025,VIP
VIP,197,,Marker,VIP,SilkeborgRanders,Velux,Rydalvej 2,Østbirk,Rydalvej 2 Velux Østbirk,8752,bom,0,0,0,KunHverdage,,197,Strandsten ved alle kanter. Hold afstand.,,#FFA500,55.973261776,9.735725495,"55.973261776,9.735725495","sm267552d1",List29/10-2025,VIP
VIP,198,,Marker,VIP,SilkeborgRanders,Velux,Gantrupvej 2,Østbirk,Gantrupvej 2 Velux Østbirk,8752,*8752,0,0,0,KunHverdage,,198,,,#FFA500,55.994005093,9.719648255,"55.994005093,9.719648255","sm92215f67",List29/10-2025,VIP
VIP,200,,Marker,VIP,SilkeborgRanders,Velux,Industrivej 7,Østbirk,Industrivej 7 Velux østbirk,8752,0,0,0,0,KunHverdage,,200,,,#FFA500,55.967401623,9.743713791,"55.967401623,9.743713791","sm09c9459d",List29/10-2025,VIP
VIP,201,,Marker,VIP,SilkeborgRanders,Velux,Ryvej 37,Østbirk,ryvej37 og 43 Velux Østbirk,8752,0,0,0,0,KunHverdage,,201,,,#FFA500,55.973530091,9.736221083,"55.973530091,9.736221083","sm73d27f82",List29/10-2025,VIP
Udkald på bestilling,999,,Marker,Udkald på bestilling,Administativ,Ingen,Nørre hvamvej 8,Holstebro,Administrativ prik Udkald på bestilling alle,7500,0,0,0,s,AlleDage,Aktiv,999,,,#EB00FF,56.414704,8.7314149,"56.414704,8.7314149","sm94574b75",List29/10-2025,Udkald på bestilling
