SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Områder,Karup,,Polygon,#FFB124,#3E9FB0,56.3463064,9.12453826,"56.3463064,9.12453826 56.3463064,9.15063078 56.34326212,9.18221648 56.34326212,9.18221648 56.34402321,9.23028166 56.33260523,9.25088103 56.31737594,9.26736052 56.30518814,9.25912077 56.29299644,9.24538786 56.28413492,9.23199853 56.2807045,9.22066888 56.27803621,9.19972619 56.27517713,9.15578088 56.27622651,9.03115447 56.30975901,8.98995574 56.33869524,9.03390105 56.3463064,9.12453826","sm071e0dac",Udkald,Områder
Områder,Skjern,,Polygon,#FFB124,#3E9FB0,55.97656599,8.34262071,"55.97656599,8.34262071 56.03913992,8.3515471 56.04872819,8.43119798 56.00805757,8.55136094 55.98996166,8.59221643 55.9838161,8.61830896 55.9707535,8.72130578 55.96460488,8.76937097 55.95922409,8.80782312 55.94615317,8.84627526 55.93153935,8.86412805 55.9123022,8.86412805 55.88458395,8.85314172 55.85453354,8.80919641 55.84990828,8.78173059 55.84605355,8.71031945 55.845911642,8.637253248 55.835116232,8.589188062 55.819689017,8.483444654 55.797308686,8.381821119 55.777232622,8.281570875 55.776460258,8.184067213 55.801940155,8.156601392 55.82894608,8.167587721 55.91999823,8.37386315 55.94230799,8.34914392 55.94230799,8.34914392 55.9553801,8.33953088 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071 55.97656599,8.34262071","smcd61d788",Udkald,Områder
Områder,Ringkøbing,,Polygon,#FFB124,#3E9FB0,56.18806356,8.39892566,"56.18806356,8.39892566 56.24533539,8.35498034 56.25601655,8.28768908 56.16207223,8.2094115 56.12644783,8.20082849 56.11343349,8.18984216 56.09888288,8.18709558 56.08585916,8.20082849 56.08126154,8.22554773 56.06976507,8.2749862 56.06593213,8.30931848 56.0705316,8.34365075 56.09352073,8.36974328 56.10424431,8.37248986 56.11922449,8.41128527 56.14677498,8.41815173 56.18806356,8.39892566","sm678b752b",Udkald,Områder
Områder,Herning,,Polygon,#FFB124,#FFB124,56.277702659,8.75701135,"56.277702659,8.75701135 56.255967849,8.73366541 56.236510499,8.71649927 56.210551929,8.69040674 56.184957929,8.67736048 56.168140638,8.68560022 56.143665949,8.70688623 56.124534267,8.73709864 56.113050671,8.77349085 56.107690489,8.80370325 56.088923989,8.87786096 56.08356044,8.90876001 56.077046581,8.96506494 56.0747473,9.01862329 56.07666333,9.06256861 56.076139123,9.089752635 56.077671934,9.114471873 56.084568831,9.161163768 56.099124893,9.196869334 56.120565903,9.220215282 56.141994976,9.2174687 56.159588493,9.196869334 56.168764524,9.183136424 56.186345787,9.151550731 56.194751369,9.135071239 56.218952249,9.0563888 56.2368921,8.98841089 56.2487202,8.93141931 56.27045913,8.84558863 56.27998988,8.8030166 56.28380146,8.78104395 56.277702659,8.75701135","smfed0c1da",Udkald,Områder
Områder,Aalborg,,Polygon,#FFB124,#3E9FB0,57.32517379,9.93846009,"57.32517379,9.93846009 57.311084521,9.85194275 57.279920631,9.77641175 57.24650143,9.72559998 57.24650143,9.72559998 57.225819385,9.709106878 57.2094609,9.687134222 57.193095159,9.67065473 57.172255544,9.654175237 57.152893944,9.637695745 57.152893944,9.637695745 57.13054104,9.621216253 57.105191424,9.634949163 57.067881051,9.667908147 57.048464819,9.673401312 57.048464819,9.673401312 57.022183381,9.75031922 56.999003611,9.80113098 56.99152316,9.85468933 56.981796321,9.90138123 56.978802942,9.94395325 56.981048032,9.99888489 56.990775052,10.0428302 57.010221411,10.07716248 57.044601741,10.11149475 57.078950142,10.11149475 57.10804671,10.1046283 57.13712052,10.1046283 57.181804941,10.12797425 57.227922071,10.13072083 57.262100831,10.11561463 57.29624785,10.05930969 57.31553436,10.00849793 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009 57.32517379,9.93846009","sme62a2397",Udkald,Områder
Områder,Viborg,,Polygon,#FFB124,#3E9FB0,56.471800307,9.301741248,"56.471800307,9.301741248 56.527511602,9.334013587 56.52479284,9.35481139 56.51645976,9.40287658 56.5141867,9.43858214 56.5096403,9.49626037 56.46964646,9.57247802 56.46016313,9.58037445 56.44953892,9.58449432 56.43967087,9.584151 56.4286613,9.57831451 56.39580322,9.53780242 56.385820176,9.480612504 56.35911305,9.3276889 56.353284538,9.198057776 56.37791072,9.183809882 56.471800307,9.301741248","sm49c3337f",Udkald,Områder
Områder,Skive,,Polygon,#FFB124,#3E9FB0,56.528269017,9.310495978,"56.528269017,9.310495978 56.54221076,9.22022887 56.5565934,9.20924254 56.5747532,9.20237609 56.58836723,9.18726989 56.60197651,9.14057799 56.61180233,9.09251281 56.61255805,9.05131408 56.61255805,9.02247497 56.61029082,8.99638244 56.60424423,8.96754333 56.59139199,8.94007751 56.57021403,8.91535827 56.5565934,8.91123839 56.54826735,8.91123839 56.530106287,8.920649301 56.493735162,8.967366131 56.453021958,9.018328313 56.396821188,9.079439763 56.387129559,9.163553838 56.473696596,9.276850348 56.528269017,9.310495978","smbb04074c",Udkald,Områder
Områder,Varde,,Line,#FFB124,#FFB124,55.706111145,8.476578205,"55.706111145,8.476578205 55.699920541,8.446365802 55.68753639,8.413406818 55.673599531,8.396927326 55.658108307,8.37495467 55.639510743,8.366714923 55.622455216,8.366714923 55.611597833,8.366714923 55.59297818,8.377701252 55.580560168,8.380447834 55.5759024,8.396927326 55.57124408,8.421646564 55.568559802,8.439142831 55.565032127,8.462845295 55.565032127,8.484817951 55.565032127,8.509537189 55.569691184,8.528763264 55.5759024,8.561722248 55.588321885,8.589188068 55.600737442,8.611160725 55.619353413,8.619400471 55.644160961,8.635879963 55.658108307,8.635879963 55.676697041,8.622147053 55.690632796,8.600174397 55.703015967,8.569961994 55.707658644,8.545242756 55.710753456,8.501297443 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205 55.706111145,8.476578205","sm1c553479",Udkald,Områder
Områder,Vinderup,,Polygon,#FFB124,#3E9FB0,56.50759004,8.78164459,"56.50759004,8.78164459 56.50039008,8.76447845 56.49508397,8.75486541 56.49508397,8.75486541 56.48863985,8.7486856 56.48652107,8.75365325 56.48396191,8.7467868 56.48235048,8.74404022 56.48026505,8.74129363 56.47789517,8.73992034 56.47647304,8.73957702 56.4732496,8.73820373 56.47031021,8.73940536 56.46898278,8.73957702 56.46556895,8.74163696 56.46300836,8.74369689 56.46035279,8.74489852 56.45052139,8.73838592 56.45052139,8.73838592 56.45052139,8.73838592 56.44046377,8.74731231 56.43970455,8.75040222 56.42983405,8.76722503 56.42954927,8.77014327 56.42413833,8.79194427 56.42432819,8.79486251 56.42451808,8.80705047 56.42375859,8.82078338 56.42299909,8.85236907 56.426037,8.8860147 56.43097309,8.89700103 56.43097309,8.89700103 56.43628818,8.90077757 56.43628818,8.90077757 56.45431592,8.90283752 56.45801536,8.90489745 56.47413656,8.89082122 56.47707558,8.89185119 56.48020393,8.89270949 56.50285338,8.83829284 56.50607441,8.83417296 56.50759004,8.78164459","sm9142ed22",Udkald,Områder
Områder,Silkeborg,,Line,#FFB124,#FFB124,56.313259844,9.432225139,"56.313259844,9.432225139 56.299094412,9.399086445 56.286900774,9.330421895 56.275656314,9.310509175 56.262311143,9.305016011 56.24438316,9.304329365 56.191695015,9.37848708 56.147732884,9.405266255 56.132047256,9.42586562 56.082653157,9.494530171 56.056590438,9.53298232 56.032044722,9.587913961 56.019766006,9.637352437 56.016695716,9.70876357 56.021301059,9.744469136 56.028975409,9.840599507 56.048921579,9.862572164 56.116355228,9.899651021 56.134725743,9.936729879 56.156146926,9.950462789 56.207356302,9.939476461 56.242475433,9.928490133 56.273750144,9.906517476 56.304999306,9.876305074 56.318710379,9.84334609 56.32632552,9.765068502 56.345237782,9.638218791 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.313259844,9.432225139 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.340671145,9.561314495 56.313259844,9.432225139","sm756692cd",Udkald,Områder
