SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
AlgadeHaven,Overlay,,Polygon,#FFB124,,56.089368585,8.246467217,"56.089368585,8.246467217 56.089349132,8.246451123 56.089314714,8.246574505 56.08935811,8.246630831 56.089217448,8.247073396 56.089269822,8.247118993 56.089401505,8.246692522 56.089408987,8.24664156 56.089429937,8.246553047 56.089368585,8.246467217","sm848895f8",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Line,#1F49FF,,56.089131602,8.245686964,"56.089131602,8.245686964 56.088874218,8.246328012","smf65600bb",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Line,#EB0920,,56.089011889,8.24631326,"56.089011889,8.24631326 56.089008896,8.246328012","smb4da667c",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Line,#EB0920,,56.088972234,8.246136234,"56.088972234,8.246136234 56.088972982,8.246133552","sm6b64133c",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Line,#EB0920,,56.088977471,8.246122823,"56.088977471,8.246122823 56.088972234,8.246136234","sm476bafb1",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Line,#EB0920,,56.089064264,8.245906905,"56.089064264,8.245906905 56.089058278,8.245921657","sm7ff73fe5",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Polygon,#FFB124,,56.089355194,8.246394433,"56.089355194,8.246394433 56.089103423,8.24612353 56.089021495,8.246332742 56.089160661,8.246477582 56.089173755,8.246436007 56.089308806,8.246568777 56.089313295,8.246555366 56.089355194,8.246394433","sm226cdeec",Ringkøbing,AlgadeHaven
AlgadeHaven,Overlay,,Line,#00B016,,56.089281795,8.246558413,"56.089281795,8.246558413 56.089178542,8.246456489 56.089159089,8.246480629 56.089013937,8.246338472","smdc250e88",Ringkøbing,AlgadeHaven
Vattenfall,Overlay,,Line,#EB0920,,56.002723906,8.121528606,"56.002723906,8.121528606 56.002690911,8.121560792","smffdee577",Ringkøbing,Vattenfall
Vattenfall,Overlay,,Line,#EB0920,,56.00306885,8.121187965,"56.00306885,8.121187965 56.003014859,8.121244292","smdd87c6a4",Ringkøbing,Vattenfall
Vattenfall,Overlay,,Line,#EB0920,,56.003050853,8.121080677,"56.003050853,8.121080677 56.003059852,8.121112863","sm8f6cf838",Ringkøbing,Vattenfall
Vattenfall,Overlay,,Polygon,#FFB124,,56.002951874,8.120600564,"56.002951874,8.120600564 56.002530439,8.120994849 56.002573933,8.121139689 56.002953373,8.120766862 56.003068854,8.121171875 56.002681916,8.121558113 56.002752405,8.12179683 56.002667772,8.121877187 56.002549935,8.12148167 56.002642171,8.121393157 56.00252894,8.120997531 56.002336968,8.12119065 56.002630924,8.122175021 56.002672918,8.122134788 56.002687915,8.122038228 56.003227828,8.121504469 56.002951874,8.120600564","sm98881c77",Ringkøbing,Vattenfall
