SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Plads navn,Adresse,post nr,By,Niveau,KodeNøgle,Strømiddel,App,Storkunde,Ejendomskontakt,Område,Dage,Status,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
Marker,Udkald på bestilling,999,,56.414704,8.7314149,"56.414704,8.7314149","smf463e300",Administrativ prik Udkald på bestilling alle,Nørre hvamvej 8,7500,Holstebro,Udkald på bestilling,0,0,0,Ingen,0,Administativ,AlleDage,Aktiv,999,,List 3/10-2025,Udkald på bestilling
Marker,VIP,214,,56.5627066,9.0391131,"56.5627066,9.0391131","smd4b5ec5b",Viborgvej 4d uno-x Skive,Viborgvej 4d,7800,Skive,VIP,0,0,0,Uno-x,0,ViborgSkive,AlleDage,Aktiv,214,,List 3/10-2025,VIP
Marker,VIP,17,,56.4623157,9.4040912,"56.4623157,9.4040912","sm514e2a98",Gl. Skivevej 71 Viborg,Gl. Skivevej 71,8800,Viborg,VIP,0,Vejsalt,0,snevagten andre,0,ViborgSkive,AlleDage,Aktiv,17,,List 3/10-2025,VIP
Marker,VIP,35,,56.4493411,9.40606,"56.4493411,9.40606","sm2415255a",Sankt Mathias Gade 25 Sydbank Viborg,Sankt Mathias Gade 25,8800,Viborg,VIP,0,0,IngenApp,Sydbank,0,ViborgSkive,AlleDage,Aktiv,35,,List 3/10-2025,VIP
Marker,VIP,50,,56.466492283,9.404477944,"56.466492283,9.404477944","smfac56df1",Gørtlervej 8 Postnord Viborg,Gørtlervej 8,8800,Viborg,VIP,8802 til nøglebox,vejsalt,0,Postnord,0,ViborgSkive,AlleDage,Aktiv,50,De møder kl. 05.00 skal være ryddet og saltet inden,List 3/10-2025,VIP
Marker,VIP,203,,56.5412261,9.0309188,"56.5412261,9.0309188","sm46ae6953",Hjortevej 2 Ariva Skive,Hjortevej 2a,7800,Skive,VIP,0,0,Tolstrup Chafførapp,Ariva,0,ViborgSkive,AlleDage,Aktiv,203,,List 3/10-2025,VIP
Marker,VIP,213,,56.5632696,9.0371318,"56.5632696,9.0371318","smde8ee2c5",Viborgvej 2 Bonus skive,Viborgvej 2,7800,Skive,VIP,0,0,IngenApp,bonus,0,ViborgSkive,AlleDage,Aktiv,213,,List 3/10-2025,VIP
Marker,VIP,8,,56.4679819,9.4008959,"56.4679819,9.4008959","sm25b4b124",Fabriksvej 5 Falck Viborg,Fabrikvej 5,8800,Viborg,VIP,0,0,IngenApp,falck,0,ViborgSkive,AlleDage,Aktiv,8,,List 3/10-2025,VIP
Marker,VIP,210,,56.5081332,9.022758,"56.5081332,9.022758","sm36ebd09d",Skive depot B,solgårdsvej 50,7800,Skive,VIP,Nøglebrik,0,KsForstas,Forsvaret Midt,0,ViborgSkive,KunHverdage,Aktiv,210,,List 3/10-2025,VIP
Marker,VIP,205,,56.5626077,9.030348,"56.5626077,9.030348","sm7e417366",Marius Jensensvej 1b Lidl Skive,Marius Jensensvej 1B,7800,Skive,VIP,0,0,IngenApp,Lidl,0,ViborgSkive,AlleDage,Aktiv,205,,List 3/10-2025,VIP
Marker,VIP,20,,56.4535889,9.4478894,"56.4535889,9.4478894","sme8a09b4e",Hamlen 2A Lidl Viborg,Hamlen 2A,8800,Viborg,VIP,0,0,IngenApp,Lidl,0,ViborgSkive,AlleDage,Aktiv,20,,List 3/10-2025,VIP
Marker,VIP,31,,56.4448916,9.3913724,"56.4448916,9.3913724","sm1cd6e486",Marsk stigsvej 1 Lidl Viborg,Marsk Stigs Vej 1,8800,Viborg,VIP,0,0,IngenApp,Lidl,0,ViborgSkive,AlleDage,Aktiv,31,,List 3/10-2025,VIP
Marker,VIP,206,,56.5652761,9.039225,"56.5652761,9.039225","sm6c4daa55",Norgesvej 3 Postnord Skive,Norgesvej 3,7800,Skive,VIP,Nøgle kort,0,IngenApp,Postnord,0,ViborgSkive,AlleDage,Aktiv,206,,List 3/10-2025,VIP
Marker,VIP,208,,56.5443617,9.0255879,"56.5443617,9.0255879","sm1329f1a1","Område depot HDMVJ, skive A",Skyttevej 14,7800,Skive,VIP,Nøglebrik,0,KsForstas,Forsvaret Midt,0,ViborgSkive,AlleDage,Aktiv,208,,List 3/10-2025,VIP
